Date,AQI
2016-09-13,35.2
2016-09-14,61.0
2016-09-15,31.8
2016-09-16,27.4
2016-09-17,27.0
2016-09-18,30.2
2016-09-19,26.4
2016-09-20,33.2
2016-09-21,42.6
2016-09-22,40.2
2016-09-23,63.8
2016-09-24,26.8
2016-09-25,27.8
2016-09-26,35.6
2016-09-27,33.0
2016-09-28,30.8
2016-09-29,23.2
2016-09-30,21.8
2016-10-01,16.8
2016-10-02,22.0
2016-10-03,47.6
2016-10-04,26.4
2016-10-05,27.2
2016-10-06,41.8
2016-10-07,38.2
2016-10-08,34.0
2016-10-09,24.0
2016-10-10,25.8
2016-10-11,26.4
2016-10-12,32.6
2016-10-13,34.6
2016-10-14,26.2
2016-10-15,38.8
2016-10-16,33.2
2016-10-17,55.4
2016-10-18,60.2
2016-10-19,38.0
2016-10-20,31.4
2016-10-21,28.8
2016-10-22,16.0
2016-10-23,27.4
2016-10-24,28.6
2016-10-25,21.4
2016-10-26,23.4
2016-10-27,32.2
2016-10-28,18.4
2016-10-29,31.8
2016-10-30,52.0
2016-10-31,24.4
2016-11-01,29.0
2016-11-02,49.8
2016-11-03,54.0
2016-11-04,22.8
2016-11-05,33.6
2016-11-06,26.4
2016-11-07,27.6
2016-11-08,46.2
2016-11-09,53.4
2016-11-10,24.0
2016-11-11,28.2
2016-11-12,28.2
2016-11-13,36.0
2016-11-14,50.4
2016-11-15,40.6
2016-11-16,50.4
2016-11-17,51.8
2016-11-18,54.8
2016-11-19,40.0
2016-11-20,27.6
2016-11-21,28.6
2016-11-22,28.4
2016-11-23,28.4
2016-11-24,32.8
2016-11-25,61.8
2016-11-26,38.8
2016-11-27,25.4
2016-11-28,39.2
2016-11-29,37.6
2016-11-30,40.0
2016-12-01,25.4
2016-12-02,25.8
2016-12-03,29.4
2016-12-04,31.4
2016-12-05,33.4
2016-12-06,38.8
2016-12-07,43.0
2016-12-08,46.6
2016-12-09,29.2
2016-12-10,31.8
2016-12-11,47.0
2016-12-12,48.4
2016-12-13,47.0
2016-12-14,54.2
2016-12-15,33.6
2016-12-16,40.0
2016-12-17,51.6
2016-12-18,49.8
2016-12-19,32.6
2016-12-20,46.8
2016-12-21,59.4
2016-12-22,54.0
2016-12-23,45.6
2016-12-24,49.0
2016-12-25,36.4
2016-12-26,33.8
2016-12-27,34.4
2016-12-28,37.6
2016-12-29,38.2
2016-12-30,37.6
2016-12-31,34.8
2017-01-01,55.8
2017-01-02,47.8
2017-01-03,29.2
2017-01-04,39.8
2017-01-05,43.8
2017-01-06,48.8
2017-01-07,46.8
2017-01-08,46.8
2017-01-09,44.4
2017-01-10,43.8
2017-01-11,49.2
2017-01-12,49.4
2017-01-13,40.4
2017-01-14,38.8
2017-01-15,48.4
2017-01-16,57.4
2017-01-17,64.4
2017-01-18,38.0
2017-01-19,38.6
2017-01-20,43.6
2017-01-21,57.0
2017-01-22,59.0
2017-01-23,27.0
2017-01-24,26.2
2017-01-25,38.0
2017-01-26,44.4
2017-01-27,27.0
2017-01-28,31.6
2017-01-29,42.4
2017-01-30,33.0
2017-01-31,45.0
2017-02-01,44.8
2017-02-02,34.8
2017-02-03,34.8
2017-02-04,37.2
2017-02-05,45.8
2017-02-06,53.4
2017-02-07,62.0
2017-02-08,51.8
2017-02-09,30.0
2017-02-10,31.4
2017-02-11,55.6
2017-02-12,44.0
2017-02-13,30.8
2017-02-14,40.8
2017-02-15,52.0
2017-02-16,33.0
2017-02-17,39.6
2017-02-18,55.4
2017-02-19,52.8
2017-02-20,32.0
2017-02-21,32.4
2017-02-22,47.2
2017-02-23,64.4
2017-02-24,41.2
2017-02-25,25.0
2017-02-26,29.6
2017-02-27,45.2
2017-02-28,42.0
2017-03-01,40.4
2017-03-02,37.6
2017-03-03,36.4
2017-03-04,36.4
2017-03-05,35.2
2017-03-06,41.2
2017-03-07,52.6
2017-03-08,41.4
2017-03-09,40.0
2017-03-10,32.4
2017-03-11,31.0
2017-03-12,31.6
2017-03-13,34.0
2017-03-14,39.6
2017-03-15,31.4
2017-03-16,39.2
2017-03-17,41.8
2017-03-18,59.0
2017-03-19,38.2
2017-03-20,40.2
2017-03-21,51.8
2017-03-22,36.8
2017-03-23,36.6
2017-03-24,47.6
2017-03-25,58.6
2017-03-26,38.6
2017-03-27,44.4
2017-03-28,36.0
2017-03-29,32.6
2017-03-30,30.0
2017-03-31,30.6
2017-04-01,28.4
2017-04-02,35.2
2017-04-03,47.6
